Year,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2025,15603771,Martin,732,France,Female,40,1,168305.52,1,1,1,29347.24,1
2025,15606672,Bartlett,716,France,Female,53,3,143102.29,2,1,1,98199.73,0
2025,15607261,Dupont,672,France,Male,27,5,114284.48,2,1,0,181830.3,0
2025,15600760,Neumann,660,France,Female,37,3,0.0,1,1,0,107493.89,0
2025,15603779,Alonso,547,France,Male,39,4,90486.58,1,0,0,134958.59,0
2025,15601772,Martinez,714,Germany,Male,30,3,162462.04,1,1,1,100387.76,0
2025,15607509,Koch,630,Germany,Female,18,9,83041.62,1,1,1,176460.04,0
2025,15602679,Wolf,662,France,Female,46,9,0.0,1,0,0,163381.55,0
2025,15602305,Fischer,625,France,Male,42,0,133598.49,2,0,1,195308.76,0
2025,15609215,Martin,731,France,Male,37,8,0.0,1,1,1,29226.14,0
2025,15603625,Dubois,564,France,Male,57,4,0.0,1,1,1,110116.08,0
2025,15604236,Becker,795,Spain,Female,53,3,0.0,1,1,0,195626.49,0
2025,15609005,Chu,823,Spain,Male,44,2,0.0,1,0,0,171785.5,0
2025,15605924,Klein,586,France,Female,23,1,0.0,1,0,0,81110.56,0
2025,15603093,Durand,676,France,Female,33,7,0.0,2,1,0,133450.08,0
2025,15607590,Simon,506,France,Female,41,6,146107.82,2,1,0,35522.76,0
2025,15604736,Schulz,762,Germany,Female,42,5,89413.08,1,0,1,82650.48,1
2025,15604366,Garcia,699,France,Female,46,8,93035.6,2,0,0,28697.73,1
2025,15604056,Mitchell,617,Germany,Female,31,10,130816.31,2,1,0,146075.22,0
2025,15604178,Sanchez,598,France,Female,46,6,55013.85,2,0,1,134277.3,0
2025,15601287,Robert,639,Spain,Female,31,3,123206.23,2,1,0,69484.22,0
2025,15608343,Meyer,492,France,Female,29,9,97822.81,1,0,1,135181.14,0
2025,15604623,Michel,512,France,Male,49,8,0.0,2,1,1,36435.6,0
2025,15602066,Alvarez,758,Germany,Male,31,6,139983.66,1,1,1,30641.29,0
2025,15609099,Hoffmann,642,Germany,Female,46,2,159595.1,1,1,1,45471.5,1
2025,15605950,Dominguez,630,France,Female,35,0,0.0,1,1,0,84310.0,0
2025,15601547,Bernard,850,Germany,Male,49,3,133765.76,1,0,1,124704.8,1
2025,15607599,Simon,698,Germany,Male,38,2,123374.54,1,0,0,56899.62,0
2025,15600313,Klein,644,France,Male,30,7,0.0,2,0,1,166451.63,0
2025,15608321,Meyer,639,France,Male,27,10,0.0,2,1,0,55542.1,0
2025,15603916,Gomez,632,Spain,Male,35,3,59684.84,1,1,0,105835.02,0
2025,15605943,Weber,737,France,Female,27,1,108515.0,2,1,1,85874.95,0
2025,15603162,Mitchell,725,France,Female,34,7,0.0,1,1,1,190503.5,0
2025,15602010,Gomez,694,Spain,Female,39,4,0.0,2,1,0,12130.02,0
2025,15607296,Schulz,791,France,Female,42,3,0.0,1,1,0,135882.59,0
2025,15604163,Schmidt,659,France,Female,39,6,140577.88,1,1,1,197965.22,0
2025,15608426,Moreau,610,Germany,Female,43,10,116240.73,1,1,1,30459.93,1
2025,15604080,Moreau,569,Germany,Male,45,3,126128.69,1,1,1,83945.47,1
2025,15604026,He,738,Germany,Female,36,3,113372.37,1,0,1,198190.12,0
2025,15602345,Petit,589,France,Female,52,6,163032.69,1,1,0,70413.73,0
2025,15600324,Richter,624,France,Female,48,8,89955.19,1,1,0,54195.12,0
2025,15602733,Martin,656,France,Male,24,0,0.0,1,1,1,131987.39,0
2025,15600704,Schulz,626,Germany,Female,53,0,37219.24,2,1,1,170917.62,1
2025,15605877,Rodriguez,615,France,Female,66,10,58340.93,1,0,0,44873.64,0
2025,15607875,He,698,Spain,Female,52,2,125232.97,2,0,1,106410.66,0
2025,15601651,Koch,692,France,Male,39,3,0.0,2,0,1,173860.85,0
2025,15600585,Gutierrez,710,France,Female,27,6,124951.8,2,0,1,82469.67,0
2025,15604625,Ruiz,639,Germany,Female,30,7,111258.25,2,1,1,145824.04,0
2025,15603939,Moreau,724,France,Male,37,6,76366.47,2,0,1,103014.71,0
2025,15601603,Chidiebere,734,France,Female,34,9,0.0,2,0,0,152799.71,0
2025,15605581,Klein,739,Germany,Female,42,6,117706.06,1,0,0,138520.86,1
2025,15605459,Thomas,578,France,Male,35,9,85664.07,2,1,1,27538.1,0
2025,15604165,Dominguez,745,France,Male,31,3,128633.85,2,1,0,178463.67,0
2025,15607796,Weber,738,Spain,Male,42,9,97683.73,1,1,0,186703.2,0
2025,15605112,Hernandez,606,France,Female,39,6,77885.85,1,1,0,47623.9,1
2025,15606700,Garcia,520,France,Male,40,2,121219.82,1,0,0,93738.79,0
2025,15604531,Schmidt,625,Spain,Female,48,4,0.0,1,1,1,154501.38,1
2025,15609223,Perez,401,Germany,Female,23,1,132686.95,1,1,0,60508.8,0
2025,15601241,Munoz,816,Germany,Female,34,5,94543.83,2,0,0,81902.78,1
2025,15605250,Alonso,845,Spain,Male,39,6,124589.65,2,0,1,142860.28,0
2025,15605045,Navarro,616,France,Male,47,10,0.0,3,0,0,13159.76,1
2025,15600147,Chu,565,Spain,Male,35,7,0.0,2,1,1,186981.86,0
2025,15602263,Dupont,587,Germany,Female,40,8,135528.08,2,0,0,16031.69,1
2025,15605451,Muller,462,France,Male,32,2,148563.41,2,1,1,189399.88,0
2025,15605346,Schmidt,619,France,Male,51,6,178027.15,1,1,1,180527.07,0
2025,15604259,Dubois,478,Spain,Male,39,5,164283.14,2,1,1,146314.12,0
2025,15605360,Torres,582,Germany,Male,49,3,112916.79,1,1,1,26936.49,1
2025,15601721,Moreau,522,Germany,Female,54,6,118179.97,1,1,0,196171.4,1
2025,15603229,Gutierrez,647,Spain,Male,49,9,0.0,1,1,1,37493.15,0
2025,15608478,Michel,752,France,Male,34,10,98301.48,2,1,1,105451.82,0
2025,15608262,Gomez,470,Spain,Male,41,7,0.0,2,1,0,39013.42,0
2025,15603462,Michel,690,Germany,Female,33,7,116125.95,2,0,1,14097.51,0
2025,15609136,Wagner,569,Germany,Male,39,8,89685.14,2,1,0,143210.65,0
2025,15601995,Dupont,497,France,Male,29,4,0.0,1,1,0,65305.5,0
2025,15603286,Lefebvre,597,Spain,Female,30,9,0.0,2,0,1,196713.1,0
2025,15603463,Petit,710,Spain,Female,37,0,0.0,2,1,1,38227.98,0
2025,15608498,Rodriguez,503,France,Female,40,2,71940.23,2,1,0,174330.2,0
2025,15607617,Gomez,755,Germany,Female,44,1,120825.45,1,1,1,14375.08,1
2025,15607675,Richter,667,France,Male,32,7,101378.31,1,1,0,173819.99,0
2025,15606028,Fischer,572,Spain,Female,26,8,0.0,2,1,0,160112.86,0
2025,15607190,Laurent,609,Spain,Male,44,2,0.0,1,1,1,119265.4,0
2025,15608589,Muller,768,Germany,Male,67,8,138151.73,1,0,1,195649.59,1
2025,15605136,Rodriguez,482,France,Male,36,10,135935.09,1,0,0,125172.71,0
